Total Steps:  56166 Episode:  85 Reward:  -4.500000000001631 Episode TimeSteps:  703 Sand Penalty:  26611.20000000004 NonSand Reward:  34700 Distance Reward:  39420 Goal Reward:  -5581.500000002901
Total Steps:  56666 Episode:  86 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  26862.40000000004 NonSand Reward:  34700 Distance Reward:  39420 Goal Reward:  -5631.500000003083
Total Steps:  57591 Episode:  87 Reward:  1577.5000000000707 Episode TimeSteps:  925 Sand Penalty:  27252.40000000004 NonSand Reward:  36170 Distance Reward:  40600 Goal Reward:  -5724.00000000342
Total Steps:  58300 Episode:  88 Reward:  14.399999999997636 Episode TimeSteps:  709 Sand Penalty:  27587.100000000042 NonSand Reward:  36590 Distance Reward:  40600 Goal Reward:  -5794.900000003678
Total Steps:  59089 Episode:  89 Reward:  427.39999999998406 Episode TimeSteps:  789 Sand Penalty:  27960.800000000043 NonSand Reward:  37030 Distance Reward:  41480 Goal Reward:  -5873.800000003965
Total Steps:  59589 Episode:  90 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  28212.000000000044 NonSand Reward:  37030 Distance Reward:  41480 Goal Reward:  -5923.800000004147
Total Steps:  60198 Episode:  91 Reward:  -115.09999999999815 Episode TimeSteps:  609 Sand Penalty:  28506.200000000044 NonSand Reward:  37260 Distance Reward:  41500 Goal Reward:  -5984.700000004368
Total Steps:  61198 Episode:  92 Reward:  2013.8000000000748 Episode TimeSteps:  1000 Sand Penalty:  28902.400000000045 NonSand Reward:  39340 Distance Reward:  42360 Goal Reward:  -6084.700000004732
Total Steps:  61858 Episode:  93 Reward:  -50.69999999999826 Episode TimeSteps:  660 Sand Penalty:  29217.100000000046 NonSand Reward:  39670 Distance Reward:  42360 Goal Reward:  -6150.700000004972
Total Steps:  62367 Episode:  94 Reward:  -202.79999999999856 Episode TimeSteps:  509 Sand Penalty:  29469.000000000047 NonSand Reward:  39750 Distance Reward:  42400 Goal Reward:  -6201.600000005157
Total Steps:  63367 Episode:  95 Reward:  1122.3000000000632 Episode TimeSteps:  1000 Sand Penalty:  29896.700000000048 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6301.600000005521
Total Steps:  63867 Episode:  96 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  30147.90000000005 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6351.600000005703
Total Steps:  64367 Episode:  97 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  30399.10000000005 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6401.600000005885
Total Steps:  64867 Episode:  98 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  30650.30000000005 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6451.600000006067
Total Steps:  65367 Episode:  99 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  30901.50000000005 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6501.600000006249
Total Steps:  65867 Episode:  100 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  31152.70000000005 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6551.6000000064305
Total Steps:  66367 Episode:  101 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  31403.900000000052 NonSand Reward:  41200 Distance Reward:  42800 Goal Reward:  -6601.600000006612
